player,batting_elo,total_runs,matches_played,bowling_elo,total_wickets,matches_2plus_overs,allrounder_elo
A Symonds,1642.3344088362016,1311,47,1460.0660953666218,31,38,1548.5208386055779
A Vala,1630.4324747068235,1278,54,1547.1520467836253,41,29,1588.246498622035
AC Agar,1575.18915645247,1072,94,1451.506406816438,133,132,1512.0837121464342
AD Mathews,1776.357077210689,2322,119,1332.9046956577617,78,108,1538.73801843557
AD Russell,2138.7953971648603,6363,330,1501.1699412087935,345,290,1791.8413324342118
AJ Hosein,1552.632882757144,853,91,1474.469196923934,179,169,1513.0463838748033
AK Markram,1955.0314811017072,4112,158,1428.3687134502927,34,49,1671.0792325368852
AM Hardie,1654.9265547228883,1288,59,1484.3830521817365,37,34,1567.3368911743787
AR Patel,1823.1519775014378,3012,191,1424.2982830170927,238,239,1611.4317333460065
AR Ramjani,1557.2448502843413,644,35,1636.4688888888895,91,45,1596.3654812957968
Aamir Kaleem,1527.2015926247095,506,33,1485.725092217724,40,31,1506.3205923831092
Aizaz Khan,1594.6256711597568,966,71,1555.71295745862,92,69,1575.0491480964592
Aqib Ilyas,1644.3991550490498,1323,53,1501.4825686009892,46,40,1571.3168576478595
Aqib Iqbal,1553.6876128109323,527,28,1558.0613831587514,55,40,1555.8729610777416
B Ward,1569.7485279830237,526,26,1561.593492063492,54,30,1565.665700420922
BA Pai,1590.0874060802703,911,28,1492.8288888888887,32,28,1540.6908890673124
BA Stokes,1699.0534648484484,1796,89,1405.872121199363,65,76,1545.5264147395267
BCJ Cutting,1833.5587993939275,2597,153,1431.8246258775553,116,117,1620.288444063806
BFW de Leede,1557.4580270629656,842,51,1544.579568579569,49,37,1551.0054311709234
BJ Dwarshuis,1532.4206123985334,705,66,1565.2330367285058,164,121,1548.7399293263904
Basil Hameed,1571.697898867932,732,46,1541.3922627080522,37,24,1556.4713234202334
Bilal Zalmai,1575.5594137961955,700,20,1526.7459811616955,33,23,1550.9606710341877
Bipul Sharma,1571.6344426606558,550,33,1487.037902448429,39,42,1528.7511193879163
C Campher,1615.6590385059974,1075,61,1446.7134670008354,43,46,1528.8543714455761
C Green,1601.4565165131673,1073,48,1469.9551063556328,31,35,1534.297619125779
C Rububagumya,1523.857144848686,552,47,1506.328272234588,43,36,1515.0673582822162
CH Gayle,2369.2750900335463,10624,347,1439.3116157286129,47,61,1846.6524193636815
CH Morris,1534.7406769602283,879,75,1589.85739859217,168,120,1562.0559593643163
CJ Anderson,1653.8398851041134,1618,93,1452.0172569512815,42,49,1549.6464285137747
CJ Green,1564.0198594409376,1160,119,1401.673933006564,166,177,1480.623472623257
CJ Jordan,1514.1882141844158,1052,127,1564.20205317872,307,233,1538.9919796822473
CJA Amini,1570.1795502524988,909,48,1479.456307854363,37,39,1524.1430510568837
CR Brathwaite,1615.5286300792036,1537,133,1402.042474699119,158,153,1505.004903136041
D Pretorius,1550.605159269608,653,57,1559.202387705092,110,81,1554.8978316021305
D Wiese,1725.5527225718533,2135,136,1493.1983325205945,192,155,1605.176765350366
DJ Bravo,2000.4030711027422,4914,317,1724.982698542651,520,384,1857.5954047541716
DJ Hussey,1839.4102380828506,2964,141,1458.8642555105716,33,41,1638.1238804068698
DJ Willey,1521.1220917491892,605,60,1511.5228431996852,128,106,1516.3148713161745
DJG Sammy,1766.343501267588,2633,181,1387.8741374804533,95,100,1565.71468132478
DJM Short,1871.6095380070042,3895,132,1402.6723931623928,45,57,1620.2638765774682
DM Nakrani,1591.3661174695092,972,55,1542.6061538461538,84,56,1566.7964659874385
DMW Rawlins,1597.2499285927968,1045,34,1499.9074583895635,31,28,1547.8136453748346
DR Sams,1503.9574913465708,1066,95,1548.8249013747798,153,112,1526.2263309243206
DR Smith,2024.4908808317948,5359,210,1437.87496908435,42,50,1706.1549644412623
DS Airee,1686.2750812014524,1818,71,1518.9609014961645,60,49,1600.4330406212803
DT Christian,1759.1278816650956,2807,188,1385.6988991710043,156,160,1561.2884323930489
FA Allen,1559.2790325426668,1147,92,1428.680377867746,67,76,1492.5519613783335
Faheem Ashraf,1599.3092288322605,1348,104,1455.4764665159405,151,129,1525.6988383187268
GF Linde,1559.3002682198078,576,39,1476.608668466037,52,50,1517.3912787395295
GH Dockrell,1592.1613803109692,1073,85,1511.670983519404,78,63,1551.3942631376121
GJ Delany,1616.8144296756475,1086,68,1473.4464597390918,42,46,1543.4667140760314
GJ Maxwell,2290.331814156807,8949,365,1296.0851041253227,133,170,1722.923372594662
H Thaker,1588.8044699516051,646,36,1498.9225146198833,40,37,1543.2092506653694
HH Pandya,2122.1471355559524,5180,253,1419.3471244602213,216,197,1735.5297273549759
HV Patel,1550.63776813847,1019,77,1646.0361804458894,235,160,1597.6250715113936
Harbhajan Singh,1526.8874811407718,1062,110,1439.467105989612,206,198,1482.533070001973
I Danladi,1596.6019247940444,749,36,1509.9220647773275,30,23,1552.6572303352982
IK Gamantika,1560.0776485621582,591,37,1543.7886721706227,40,27,1551.9117892318627
IK Pathan,1681.9797945152436,1568,108,1503.6133236938501,147,129,1590.2978429265897
IO Okpe,1563.3693296047006,583,48,1529.3314251440572,60,50,1546.256720234666
Imad Wasim,1717.7288217829578,2666,177,1445.5221239553753,253,244,1575.7585522036889
Imran Anwar,1544.7111411689405,855,50,1519.3390881048776,73,58,1531.972590031905
J Botha,1622.401889664553,1230,96,1390.3989334641967,115,133,1501.9273807477816
JA Morkel,1669.5848618085724,1565,112,1399.963645412388,125,128,1528.8420812702884
JDP Oram,1553.98480689854,588,41,1451.0225326135849,31,38,1501.621447019505
JDS Neesham,1688.9935456484225,1910,140,1454.5583670715253,105,95,1567.3990218679846
JEC Franklin,1612.9519063009716,1000,56,1507.4244309491678,34,24,1559.295709448377
JH Kallis,1865.7541129712706,3706,142,1392.0868594563333,101,116,1611.6115486195527
JJ Smit,1627.2179743509053,1097,59,1517.8867071524965,60,44,1571.6019002619114
JN Frylinck,1586.1618577188922,891,53,1552.5904189962089,69,49,1569.2863675160056
JO Holder,1695.0599470809852,2232,172,1503.9506387374802,266,220,1596.6485180247928
JP Duminy,2006.57734576051,4692,174,1337.1164430306535,41,72,1637.9949826630066
JP Faulkner,1638.4293632513923,1414,119,1536.9029463581699,222,161,1586.8544091317278
JR Hopes,1583.773273751704,729,49,1444.952103043156,46,55,1512.7711402096052
Janak Prakash,1556.217631568126,506,36,1527.341928576814,52,38,1541.7121776403349
K Nassoro,1582.1798991182002,783,44,1486.5642649163697,37,40,1533.6271054914566
K Waiswa,1546.9138222177207,598,46,1535.0868331084118,43,26,1540.9889812843664
KA Pollard,2520.4279082987255,9393,435,1355.0060524173684,196,199,1848.0246401026209
KH Pandya,1742.138174305555,2478,152,1289.1610226420753,139,165,1498.6315859381675
