player,total_runs,total_balls,matches_played,bat_avg,strike_rate,milestone_1000_runs,batting_elo
A Ahmadhel,8,27,4,2.0,29.629629629629626,False,1491.0852553113725
A Alexander,36,22,4,9.0,163.63636363636365,False,1499.2547049278376
A Amado,19,28,2,9.5,67.85714285714286,False,1502.2874881410887
A Andrews,4,6,1,4.0,66.66666666666666,False,1499.6867906506234
A Aravinddaraj,0,3,1,0.0,0.0,False,1495.0
A Ashish Reddy,415,326,35,11.857142857142858,127.30061349693251,False,1553.722041522031
A Ashokan,572,525,19,30.105263157894736,108.95238095238096,False,1577.3041100956434
A Athanaze,349,342,19,18.36842105263158,102.04678362573098,False,1538.9740734407947
A Awasthi,52,25,2,26.0,208.0,False,1504.6867906506234
A Ayre,0,1,1,0.0,0.0,False,1495.0
A Badoni,1230,962,56,21.964285714285715,127.85862785862786,True,1642.4791299125095
A Bagai,165,157,4,41.25,105.09554140127389,False,1517.8860229809977
A Balbirnie,2273,1918,102,22.284313725490197,118.50886339937435,True,1741.3801513211436
A Bhadauria,40,32,2,20.0,125.0,False,1507.725094371238
A Bhagwat,2,9,3,0.6666666666666666,22.22222222222222,False,1489.0369817316418
A Bhargava,7,7,2,3.5,100.0,False,1498.41695552657
A Bharwad,18,25,1,18.0,72.0,False,1503.5744028845556
A Bhattarai,2,3,1,2.0,66.66666666666666,False,1498.1992323303746
A Bishnoi,11,23,6,1.8333333333333333,47.82608695652174,False,1484.472428124033
A Bohara,23,36,15,1.5333333333333334,63.888888888888886,False,1449.7979721617105
A Bramble,78,98,12,6.5,79.59183673469387,False,1501.8077725051066
A Bulow,11,13,1,11.0,84.61538461538461,False,1502.2362140620164
A Bushell,5,8,1,5.0,62.5,False,1500.2177231961955
A Busing-Volschenk,0,1,1,0.0,0.0,False,1495.0
A Chandila,4,7,2,2.0,57.14285714285714,False,1494.6867906506234
A Chaubey,14,21,3,4.666666666666667,66.66666666666666,False,1494.7036019989328
A Chaudhary,42,45,4,10.5,93.33333333333333,False,1497.2362140620166
A Chopra,53,75,6,8.833333333333334,70.66666666666667,False,1502.7118620229448
A Choudhary,59,53,9,6.555555555555555,111.32075471698113,False,1502.4090715281966
A Conteh,35,58,4,8.75,60.3448275862069,False,1501.3656501227633
A Dananjaya,81,108,19,4.2631578947368425,75.0,False,1481.3834921597602
A Davidson Soler,90,89,5,18.0,101.12359550561798,False,1504.4587463480418
A Daxini,11,24,2,5.5,45.83333333333333,False,1500.8843434634864
A Dhabe,21,25,2,10.5,84.0,False,1501.9230047126398
A Dhingra,8,8,4,2.0,100.0,False,1491.2731957936583
A Dizija,552,498,19,29.05263157894737,110.8433734939759,False,1534.43825333969
A Djorovic,27,48,3,9.0,56.25,False,1504.4072039978657
A Donovan,2,11,2,1.0,18.181818181818183,False,1494.0369817316418
A Dowling,2,4,1,2.0,50.0,False,1498.1992323303746
A Dutt,90,101,13,6.923076923076923,89.10891089108911,False,1495.2391868854907
A Faletar,0,2,2,0.0,0.0,False,1490.0
A Ferguson,402,449,18,22.333333333333332,89.53229398663697,False,1542.9435811815
A Flintoff,212,180,16,13.25,117.77777777777779,False,1519.1438981775432
A G Pradeep,51,59,5,10.2,86.4406779661017,False,1500.168831105233
A Gasteratos,17,40,5,3.4,42.5,False,1492.7905368278166
A Gavde,1,6,1,1.0,16.666666666666664,False,1497.018490865821
A Gbla,204,224,18,11.333333333333334,91.07142857142857,False,1512.1347613787163
A Gorawara,38,37,4,9.5,102.7027027027027,False,1503.9880896406794
A Govorko,1,1,1,1.0,100.0,False,1497.018490865821
A Gulati,6,4,2,3.0,150.0,False,1497.886022980998
A Gupta,4,6,2,2.0,66.66666666666666,False,1496.055472597463
A Halbhavi,174,182,10,17.4,95.6043956043956,False,1513.0342932150431
A Harris,25,36,11,2.272727272727273,69.44444444444444,False,1471.4276106973591
A Husain,11,16,2,5.5,68.75,False,1500.8843434634864
A Ilaoa,15,14,4,3.75,107.14285714285714,False,1492.6870269667845
A Johnmary,8,14,1,8.0,57.14285714285714,False,1501.398464660749
A Johnson,999,720,34,29.38235294117647,138.75,False,1550.4119215599626
A Kadowaki Fleming,127,80,2,63.5,158.75,False,1510.0
A Kainessie,153,171,11,13.909090909090908,89.47368421052632,False,1515.9808603053548
A Kalasi,14,15,4,3.5,93.33333333333333,False,1493.6346787227653
A Kamboj,25,27,8,3.125,92.5925925925926,False,1488.75691576578
A Kansonkho,2,5,2,1.0,40.0,False,1493.1992323303746
A Kapoor,9,4,1,9.0,225.0,False,1501.7052815164443
A Karn,4,7,1,4.0,57.14285714285714,False,1499.6867906506234
A Kaul,51,64,8,6.375,79.6875,False,1491.8574245143323
A Khan,49,57,6,8.166666666666666,85.96491228070175,False,1505.6387402283867
A Kheterpal,288,261,14,20.571428571428573,110.34482758620689,False,1533.281880146651
A Kirschbaum,210,244,20,10.5,86.0655737704918,False,1518.2725912455164
A Krishna,34,33,8,4.25,103.03030303030303,False,1486.142049897808
A Kumble,35,49,15,2.3333333333333335,71.42857142857143,False,1469.255033773366
A Kuthalingham,37,40,2,18.5,92.5,False,1507.0586924343584
A Langham,43,43,3,14.333333333333334,100.0,False,1499.6867906506234
A Limdawala,103,129,8,12.875,79.84496124031007,False,1515.489898482902
A Lyth,132,117,9,14.666666666666666,112.82051282051282,False,1514.5526129306968
A Magdalenic,16,55,6,2.6666666666666665,29.09090909090909,False,1485.759074596396
A Maheshwari,40,69,7,5.714285714285714,57.971014492753625,False,1496.3354041922803
A Manepalli,162,153,5,32.4,105.88235294117648,False,1514.0352823360954
A Manohar,574,439,28,20.5,130.75170842824602,False,1547.087785121427
A Manousis,39,35,6,6.5,111.42857142857143,False,1492.8893836506027
A Mansale,572,500,25,22.88,114.39999999999999,False,1549.5550823633885
A Martel,74,66,6,12.333333333333334,112.12121212121211,False,1504.4235360330704
A McAuley,304,351,15,20.266666666666666,86.6096866096866,False,1526.7435116540478
A McKnight,67,76,2,33.5,88.1578947368421,False,1509.703601998933
A Mehmood,14,4,1,14.0,350.0,False,1502.8860229809977
A Mene-Ejegi,107,73,9,11.88888888888889,146.57534246575344,False,1510.0237190657565
A Mhatre,240,131,7,34.285714285714285,183.206106870229,False,1521.055472597463
A Mishra,438,494,67,6.537313432835821,88.66396761133603,False,1470.1014236729977
A Mithun,84,74,19,4.421052631578948,113.51351351351352,False,1476.047176957791
A Modi,48,77,5,9.6,62.33766233766234,False,1504.7135415404564
A Mongar,4,8,1,4.0,50.0,False,1499.6867906506234
A Morris,30,70,12,2.5,42.857142857142854,False,1470.7754066316006
A Mukund,189,164,9,21.0,115.24390243902438,False,1516.6221300515638
A Mundra,195,139,6,32.5,140.28776978417267,False,1525.7907731439775
A Mustafa,30,27,5,6.0,111.11111111111111,False,1499.6544915775592
A Mutreja,141,110,8,17.625,128.1818181818182,False,1503.5030173619937
A Nagarajan,69,80,5,13.8,86.25,False,1512.7209592826052
A Nagwaswalla,26,26,7,3.7142857142857144,100.0,False,1491.6285225452452
A Nanda,62,67,11,5.636363636363637,92.53731343283582,False,1490.333446533151
A Nao,64,58,8,8.0,110.34482758620689,False,1501.8010965151545
A Nathwani,25,40,7,3.5714285714285716,62.5,False,1491.11248551431
A Natubhai Ahir,257,283,20,12.85,90.81272084805654,False,1519.732881064238
A Ndlovu,10,13,3,3.3333333333333335,76.92307692307693,False,1497.4539372582121
A Nehra,69,111,23,3.0,62.16216216216216,False,1434.142848617963
A Nel,0,2,1,0.0,0.0,False,1495.0
A Nimaga,11,13,3,3.6666666666666665,84.61538461538461,False,1497.4539372582121
A Nortje,119,131,36,3.3055555555555554,90.83969465648855,False,1430.847828394566
A Orfila,2,10,2,1.0,20.0,False,1493.1992323303746
A Osei,66,125,9,7.333333333333333,52.800000000000004,False,1505.7532946856697
A Otwani,150,157,11,13.636363636363637,95.54140127388536,False,1514.5252122048971
A Oxley,116,161,5,23.2,72.04968944099379,False,1520.0267508898328
A Palkar,2,2,1,2.0,100.0,False,1498.1992323303746
A Parima,250,232,14,17.857142857142858,107.75862068965519,False,1534.7801829347884
A Patmore,273,308,19,14.368421052631579,88.63636363636364,False,1523.2407976448603
A Paul,22,29,3,7.333333333333333,75.86206896551724,False,1502.1407279088353
A Phillip,12,20,6,2.0,60.0,False,1486.102066659682
A Poulose,9,16,3,3.0,56.25,False,1491.7052815164443
A Prashar,88,54,4,22.0,162.96296296296296,False,1514.7271154601253
A Prateek Reddy,3,13,2,1.5,23.076923076923077,False,1494.036981731642
A Pratyush Kumar,24,29,1,24.0,82.75862068965517,False,1504.3735813012465
A Pusthay,120,157,7,17.142857142857142,76.43312101910828,False,1509.3454598613957
A Raghuvanshi,537,403,21,25.571428571428573,133.25062034739454,False,1573.5536546863807
A Rajshekara,106,118,7,15.142857142857142,89.83050847457628,False,1509.405504602319
A Randhawa,150,236,15,10.0,63.559322033898304,False,1519.1277764967342
A Rangaswamy,13,16,5,2.6,81.25,False,1489.1294360607471
A Raza,316,217,15,21.066666666666666,145.62211981566819,False,1537.976026116807
A Reyes,145,197,12,12.083333333333334,73.60406091370558,False,1500.355072191973
A Sarma,37,47,2,18.5,78.72340425531915,False,1506.5110717814414
A Sathyan,10,15,2,5.0,66.66666666666666,False,1496.9828311231518
A Saud,70,64,3,23.333333333333332,109.375,False,1510.5711341141096
A Shahi,87,50,6,14.5,174.0,False,1505.2598405984058
A Shahzad,0,3,1,0.0,0.0,False,1495.0
A Sharafu,1057,816,41,25.78048780487805,129.5343137254902,True,1615.269655416765
A Sharma,196,184,10,19.6,106.5217391304348,False,1516.4832082718883
A Sheth,215,174,24,8.958333333333334,123.5632183908046,False,1511.5385896560244
A Shreshta,361,376,17,21.235294117647058,96.01063829787235,False,1552.8685946542507
A Shukla,44,87,16,2.75,50.57471264367817,False,1467.6331872180733
A Simelane,47,60,7,6.714285714285714,78.33333333333333,False,1501.376584442313
A Singh,2,10,5,0.4,20.0,False,1479.0369817316418
A Singhania,44,55,8,5.5,80.0,False,1488.7593115427655
A Sokovagone,174,131,6,29.0,132.82442748091603,False,1521.9199728885635
A Symonds,1311,985,47,27.893617021276597,133.0964467005076,True,1642.3344088362016
A Thapa,0,3,1,0.0,0.0,False,1495.0
A Tomar,41,71,5,8.2,57.74647887323944,False,1506.082223487296
A Tripathi,8,27,3,2.6666666666666665,29.629629629629626,False,1494.7036019989328
A Turay,263,267,15,17.533333333333335,98.50187265917603,False,1538.4499095163292
A Turkmen,124,129,10,12.4,96.12403100775194,False,1512.4029761690251
A Uniyal,4,7,2,2.0,57.14285714285714,False,1494.6867906506234
A Vala,1278,1125,54,23.666666666666668,113.6,True,1630.4324747068235
A Valthapa,5,12,1,5.0,41.66666666666667,False,1500.2177231961955
A Venkatesh,260,255,12,21.666666666666668,101.96078431372548,False,1524.7573647612921
A Wright,13,35,9,1.4444444444444444,37.142857142857146,False,1470.759074596396
A Yon,161,137,8,20.125,117.51824817518248,False,1500.3933941560401
A Zampa,248,295,68,3.6470588235294117,84.06779661016948,False,1397.3164107589234
AA Bamal,26,19,4,6.5,136.8421052631579,False,1497.9479841858024
AA Banner,15,27,4,3.75,55.55555555555556,False,1493.688112639596
AA Barot,348,223,11,31.636363636363637,156.05381165919283,False,1532.9166790194001
AA Bilakhia,69,88,7,9.857142857142858,78.4090909090909,False,1507.7177532559504
AA Chakraborty,4,9,3,1.3333333333333333,44.44444444444444,False,1492.2362140620164
AA Chavan,12,11,3,4.0,109.09090909090908,False,1497.7607541139073
AA Gajic,18,37,5,3.6,48.64864864864865,False,1490.9599864442819
AA Herwadkar,465,428,17,27.352941176470587,108.64485981308411,False,1554.831441891166
AA Hussein,1,1,1,1.0,100.0,False,1497.018490865821
AA Jangoo,149,190,12,12.416666666666666,78.42105263157895,False,1516.5914941448432
AA Jasani,185,158,4,46.25,117.08860759493672,False,1518.8658525976653
AA Jhunjhunwala,217,218,15,14.466666666666667,99.54128440366972,False,1521.0586438733133
AA Kargave,35,43,1,35.0,81.3953488372093,False,1505.0
AA Kazi,61,56,4,15.25,108.92857142857142,False,1505.1222370430141
AA Kulkarni,9,8,2,4.5,112.5,False,1496.7052815164443
AA Navicha,122,162,10,12.2,75.30864197530865,False,1512.0224321662072
AA Noffke,9,12,1,9.0,75.0,False,1501.7052815164443
AA Obanda,678,590,34,19.941176470588236,114.91525423728814,False,1550.6536161352612
AA Onikoyi,372,435,24,15.5,85.51724137931035,False,1530.4715019231676
AA Paradkar,16,13,2,8.0,123.07692307692308,False,1502.6494513904427
AA Rahayu,73,110,8,9.125,66.36363636363637,False,1508.0671887745316
AA Sanklecha,14,10,3,4.666666666666667,140.0,False,1497.453937258212
AAA Patel,32,35,4,8.0,91.42857142857143,False,1500.115844549333
AAH Bhikari,2,11,2,1.0,18.181818181818183,False,1494.0369817316418
AAP Atkinson,10,23,2,5.0,43.47826086956522,False,1499.5976969911235
AAP Rivero,94,128,13,7.230769230769231,73.4375,False,1496.753167250044
AAhan Achar,12,15,5,2.4,80.0,False,1490.1222370430144
AB Agarkar,194,171,20,9.7,113.45029239766082,False,1519.9267430424652
AB Barath,200,239,11,18.181818181818183,83.68200836820083,False,1530.573378793311
AB Dinda,107,138,27,3.962962962962963,77.53623188405797,False,1450.956797178625
AB Fudadin,199,193,10,19.9,103.10880829015545,False,1522.7410080595553
AB Kamara,37,53,6,6.166666666666667,69.81132075471697,False,1498.7449072260317
AB McDonald,342,300,20,17.1,113.99999999999999,False,1535.249848967757
AB Mengoumou,8,34,3,2.6666666666666665,23.52941176470588,False,1494.3735813012468
AB de Villiers,7482,5235,267,28.02247191011236,142.92263610315186,True,2213.4504025102888
ABB Sangma,7,23,1,7.0,30.434782608695656,False,1501.055472597463
AC Agar,1072,980,94,11.404255319148936,109.38775510204081,True,1575.18915645247
AC Blizzard,692,549,32,21.625,126.04735883424408,False,1579.379467331608
AC Botha,75,82,6,12.5,91.46341463414635,False,1507.7069251987577
AC Douglas,355,270,19,18.68421052631579,131.4814814814815,False,1528.4090712704935
AC Evans,10,17,9,1.1111111111111112,58.82352941176471,False,1465.4354463923908
AC Gilchrist,2341,1758,93,25.172043010752688,133.1626848691695,True,1730.500515765589
AC McDermott,0,5,1,0.0,0.0,False,1495.0
AC Thomas,43,54,11,3.909090909090909,79.62962962962963,False,1487.7764494718133
AC Voges,1392,1178,69,20.17391304347826,118.16638370118847,True,1670.0428738028932
ACF Stokes,24,39,7,3.4285714285714284,61.53846153846154,False,1480.810616946572
ACL Richards,10,17,1,10.0,58.82352941176471,False,1501.9828311231518
AD Algar,40,56,2,20.0,71.42857142857143,False,1507.275094035586
AD Chopra,113,68,3,37.666666666666664,166.1764705882353,False,1511.5110717814414
AD Dore,194,192,13,14.923076923076923,101.04166666666667,False,1528.8564451811287
AD Fofana,3,19,3,1.0,15.789473684210526,False,1490.2177231961955
AD Hales,6530,4665,231,28.26839826839827,139.978563772776,True,2078.5789018298938
AD Mascarenhas,227,215,26,8.73076923076923,105.58139534883722,False,1503.5719872222191
AD Mathews,2322,1974,119,19.51260504201681,117.62917933130699,True,1776.357077210689
AD Nath,790,698,44,17.954545454545453,113.18051575931231,False,1588.22204047081
AD Poynter,266,207,14,19.0,128.50241545893718,False,1521.2212718786202
AD Russell,6363,4011,330,19.28181818181818,158.63874345549738,True,2138.7953971648603
ADL Stokoe,4,9,1,4.0,44.44444444444444,False,1499.6867906506234
ADS Fletcher,4465,3843,190,23.5,116.18527192297685,True,1912.8522999862084
AE Isesele,86,85,10,8.6,101.17647058823529,False,1493.2288944621146
AE Paraam,302,210,10,30.2,143.8095238095238,False,1525.0079024954732
AF Buurman,0,2,1,0.0,0.0,False,1495.0
AF Ifill,94,152,15,6.266666666666667,61.8421052631579,False,1498.5298653698608
AF Milne,137,144,33,4.151515151515151,95.13888888888889,False,1458.5522305390891
AG Cremer,62,90,14,4.428571428571429,68.88888888888889,False,1485.413305191262
AG Jungade,6,9,1,6.0,66.66666666666666,False,1500.666620267291
AG Murtaza,10,14,3,3.3333333333333335,71.42857142857143,False,1497.4539372582121
AG Paunikar,131,127,12,10.916666666666666,103.14960629921259,False,1515.4673289363143
AG Prince,5,6,1,5.0,83.33333333333334,False,1500.2177231961955
AG Rao,17,26,2,8.5,65.38461538461539,False,1503.0383037206147
AG Sehrawat,18,34,2,9.0,52.94117647058824,False,1502.9028343293073
AG Weligamage,101,97,9,11.222222222222221,104.1237113402062,False,1507.7750491030622
AGS Gous,1154,833,39,29.58974358974359,138.53541416566625,True,1600.4932316740274
AH Hooda,2,10,4,0.5,20.0,False,1483.1992323303746
AI Ross,2222,1764,100,22.22,125.96371882086169,True,1742.3531482827677
AJ Ayannaike,115,153,13,8.846153846153847,75.16339869281046,False,1500.630797290171
AJ Crosthwaite,60,60,6,10.0,100.0,False,1509.4557145239658
