player,matches_2plus_overs,total_wickets,total_balls,total_runs,bowling_avg,economy,wickets_per_match,milestone_100_wickets,bowling_elo
A Alexander,1,3,24,19,6.333333333333333,4.75,3.0,False,1505.0
A Andrews,3,5,62,64,12.8,6.193548387096774,1.6666666666666667,False,1505.0
A Aravinddaraj,7,6,152,190,31.666666666666668,7.5,0.8571428571428571,False,1495.2564102564102
A Ashish Reddy,21,22,359,516,23.454545454545453,8.623955431754874,1.0476190476190477,False,1492.5523501060336
A Ashok,1,2,25,28,14.0,6.72,2.0,False,1505.0
A Ashokan,16,17,356,428,25.176470588235293,7.213483146067415,1.0625,False,1481.421308576481
A Badoni,1,2,25,39,19.5,9.36,2.0,False,1504.38
A Bhargava,1,1,13,15,15.0,6.923076923076923,1.0,False,1500.1923076923076
A Bhattarai,1,2,19,13,6.5,4.105263157894737,2.0,False,1505.0
A Bishnoi,8,12,223,291,24.25,7.829596412556055,1.5,False,1510.2111249170612
A Bohara,57,78,1225,1514,19.41025641025641,7.415510204081633,1.368421052631579,False,1543.443220424171
A Chandila,12,11,234,245,22.272727272727273,6.282051282051282,0.9166666666666666,False,1488.7499999999998
A Chaubey,2,3,81,120,40.0,8.88888888888889,1.5,False,1500.0
A Chaudhary,4,3,74,94,31.333333333333332,7.621621621621621,0.75,False,1493.9615384615386
A Chenthamara,4,6,64,80,13.333333333333334,7.5,1.5,False,1500.3666666666666
A Choudhary,30,39,631,730,18.71794871794872,6.941362916006339,1.3,False,1537.2941416993735
A Conteh,5,8,116,114,14.25,5.8965517241379315,1.6,False,1504.1728205128206
A Dananjaya,40,37,893,1193,32.24324324324324,8.015677491601343,0.925,False,1473.7776608187135
A Denuwan,2,1,32,37,37.0,6.9375,0.5,False,1495.3492063492065
A Desai,4,6,73,85,14.166666666666666,6.986301369863014,1.5,False,1510.0
A Dhabe,3,5,68,74,14.8,6.529411764705882,1.6666666666666667,False,1505.0
A Dhar,1,0,12,12,,6.0,0.0,False,1495.5
A Dhingra,13,17,248,326,19.176470588235293,7.887096774193548,1.3076923076923077,False,1504.3519668737063
A Dizija,2,3,61,112,37.333333333333336,11.01639344262295,1.5,False,1500.0
A Djorovic,5,1,75,130,130.0,10.4,0.2,False,1478.0714285714287
A Donovan,1,0,13,14,,6.461538461538462,0.0,False,1495.3461538461538
A Dutt,20,25,415,468,18.72,6.766265060240963,1.25,False,1514.2920596362696
A Flintoff,14,11,283,383,34.81818181818182,8.120141342756185,0.7857142857142857,False,1484.2163877642824
A Gbla,11,18,176,191,10.61111111111111,6.511363636363637,1.6363636363636365,False,1510.7606837606838
A Gulati,1,2,24,42,21.0,10.5,2.0,False,1504.0
A Gupta,3,2,58,74,37.0,7.655172413793104,0.6666666666666666,False,1495.0714285714287
A Husain,8,8,148,145,18.125,5.878378378378378,1.0,False,1503.1434044882321
A Johnson,2,1,24,16,16.0,4.0,0.5,False,1497.3333333333333
A Kalasi,11,12,227,182,15.166666666666666,4.81057268722467,1.0909090909090908,False,1509.4999999999998
A Kamboj,15,17,269,369,21.705882352941178,8.230483271375464,1.1333333333333333,False,1493.7900863269285
A Karn,1,1,24,31,31.0,7.75,1.0,False,1499.9166666666667
A Kaul,1,3,24,20,6.666666666666667,5.0,3.0,False,1505.0
A Khan,7,7,138,145,20.714285714285715,6.304347826086956,1.0,False,1502.2957264957265
A Kheterpal,14,12,352,420,35.0,7.159090909090909,0.8571428571428571,False,1491.9633555152247
A Kirschbaum,19,22,426,449,20.40909090909091,6.323943661971831,1.1578947368421053,False,1501.6861268556002
A Krishna,13,18,257,369,20.5,8.614785992217898,1.3846153846153846,False,1502.988455988456
A Kumble,42,49,983,1089,22.224489795918366,6.646998982706002,1.1666666666666667,False,1486.4873504273507
A Kuthalingham,2,1,31,24,24.0,4.64516129032258,0.5,False,1497.1052631578948
A Limdawala,5,4,96,75,18.75,4.6875,0.8,False,1498.897435897436
A Lyth,1,1,13,22,22.0,10.153846153846155,1.0,False,1499.1153846153845
A Maheshwari,5,5,113,178,35.6,9.45132743362832,1.0,False,1498.1710246275463
A Manousis,3,2,44,51,25.5,6.954545454545455,0.6666666666666666,False,1495.8290598290598
A Mansale,4,4,74,103,25.75,8.35135135135135,1.0,False,1495.3947368421052
A Martel,10,13,241,280,21.53846153846154,6.970954356846473,1.3,False,1499.529356725146
A Martin,2,1,42,47,47.0,6.714285714285714,0.5,False,1495.5277777777778
A Mehmood,3,1,56,95,95.0,10.178571428571427,0.3333333333333333,False,1488.611111111111
A Mene-Ejegi,10,12,254,275,22.916666666666668,6.496062992125984,1.2,False,1498.6770409666963
A Mishra,203,235,4331,5272,22.43404255319149,7.303625028861695,1.1576354679802956,True,1490.4393243793245
A Mithun,46,43,946,1315,30.58139534883721,8.340380549682875,0.9347826086956522,False,1457.1617668545073
A Mongar,1,2,12,6,3.0,3.0,2.0,False,1505.0
A Morris,23,31,523,492,15.870967741935484,5.644359464627151,1.3478260869565217,False,1523.3190643274856
