player,batting_elo,total_runs,matches_played,bowling_elo,total_wickets,matches_2plus_overs,allrounder_elo
AD Russell,2138.7953971648603,6363,330,1501.1699412087935,345,290,1791.8413324342118
AK Markram,1955.0314811017072,4112,158,1428.3687134502927,34,49,1671.0792325368852
CH Gayle,2369.2750900335463,10624,347,1439.3116157286129,47,61,1846.6524193636815
DJ Bravo,2000.4030711027422,4914,317,1724.982698542651,520,384,1857.5954047541716
DR Smith,2024.4908808317948,5359,210,1437.87496908435,42,50,1706.1549644412623
GJ Maxwell,2290.331814156807,8949,365,1296.0851041253227,133,170,1722.923372594662
HH Pandya,2122.1471355559524,5180,253,1419.3471244602213,216,197,1735.5297273549759
KA Pollard,2520.4279082987255,9393,435,1355.0060524173684,196,199,1848.0246401026209
MC Henriques,2002.3930758911551,4526,206,1423.7591948952322,70,81,1688.4684046776174
MP Stoinis,2140.485852430285,6645,282,1447.0312654499503,150,134,1759.9289621231621
MR Marsh,1998.036775632291,5080,193,1502.3305373379053,84,76,1732.544851585827
Mohammad Hafeez,2057.413473725097,5127,236,1376.827276738856,108,128,1683.0635728203363
SK Raina,2301.8632691508346,7819,294,1352.4277427543216,39,72,1764.3989756363912
SP Narine,1653.1488868467384,3164,239,1657.3046319372643,438,376,1655.225455173111
SR Watson,2285.062218339476,8246,306,1494.8579128223514,228,202,1848.2000266140465
Shakib Al Hasan,1905.7023626338769,4359,240,1560.3422960224786,305,251,1724.3978659368624
Shoaib Malik,2291.2458756985375,6816,281,1365.3593738620054,59,87,1768.7210164996789
Yuvraj Singh,1987.0430632219786,4380,202,1459.582541383625,82,78,1703.0130252162603
