player,total_runs,total_balls,matches_played,bat_avg,strike_rate,milestone_1000_runs,batting_elo
AB de Villiers,7482,5235,267,28.02247191011236,142.92263610315186,True,2213.4504025102888
AD Hales,6530,4665,231,28.26839826839827,139.978563772776,True,2078.5789018298938
AD Mathews,2322,1974,119,19.51260504201681,117.62917933130699,True,1776.357077210689
AD Russell,6363,4011,330,19.28181818181818,158.63874345549738,True,2138.7953971648603
ADS Fletcher,4465,3843,190,23.5,116.18527192297685,True,1912.8522999862084
AJ Finch,8980,6979,313,28.690095846645367,128.6717294741367,True,2329.7779842012555
AK Markram,4112,3099,158,26.025316455696203,132.68796385930946,True,1955.0314811017072
AM Rahane,6183,5074,227,27.237885462555067,121.85652345289712,True,2099.971373960994
AR Patel,3012,2346,191,15.769633507853403,128.38874680306904,True,1823.1519775014378
AT Rayudu,4992,4028,217,23.004608294930875,123.93247269116188,True,2005.891037045206
Ahmed Shehzad,2874,2539,118,24.35593220338983,113.19417093343836,True,1779.8953741310793
BA King,3563,2786,144,24.743055555555557,127.8894472361809,True,1804.5985640320048
BB McCullum,7204,5539,267,26.9812734082397,130.0595775410724,True,2155.7174322621977
BCJ Cutting,2597,1856,153,16.973856209150327,139.92456896551724,True,1833.5587993939275
BJ Hodge,3408,2705,139,24.51798561151079,125.98890942698706,True,1847.6991288174565
Babar Azam,8541,6936,237,36.037974683544306,123.1401384083045,True,2243.3413023342155
C Munro,7426,5530,262,28.34351145038168,134.28571428571428,True,2145.7109254594457
CA Lynn,6619,4674,229,28.903930131004365,141.61317928968765,True,2130.62595481433
CH Gayle,10624,7946,347,30.61671469740634,133.70249181978352,True,2369.2750900335463
CL White,3545,2935,161,22.018633540372672,120.78364565587734,True,1843.2324827674227
DA Miller,7812,5866,344,22.709302325581394,133.1742243436754,True,2438.1315688563927
DA Warner,11727,8652,359,32.66573816155989,135.54091539528432,True,2505.5609401178617
DJ Bravo,4914,4097,317,15.501577287066246,119.94142055162314,True,2000.4030711027422
DJ Hussey,2964,2436,141,21.02127659574468,121.67487684729063,True,1839.4102380828506
DJ Malan,3148,2600,111,28.36036036036036,121.07692307692308,True,1806.3529680422869
DJ Mitchell,2375,1761,104,22.83653846153846,134.86655309483248,True,1778.4493261067958
DJM Short,3895,3126,132,29.507575757575758,124.60012795905311,True,1871.6095380070042
DPMD Jayawardene,3676,3024,153,24.026143790849673,121.56084656084656,True,1858.697137026076
DR Smith,5359,4367,210,25.51904761904762,122.71582321960155,True,2024.4908808317948
E Lewis,4994,3597,191,26.146596858638745,138.83792048929664,True,1924.406227987672
EJG Morgan,4691,3765,223,21.03587443946188,124.59495351925631,True,1997.9830025022488
F du Plessis,8716,6555,284,30.690140845070424,132.9672006102212,True,2355.266503868473
Fakhar Zaman,5077,3793,195,26.035897435897436,133.8518323226997,True,1996.6172263524795
G Gambhir,5361,4566,198,27.075757575757574,117.4113009198423,True,2029.981855868929
GD Phillips,3899,2912,140,27.85,133.89423076923077,True,1888.569380214288
GJ Bailey,2747,2126,128,21.4609375,129.20978363123237,True,1799.8075428220202
GJ Maxwell,8949,6030,365,24.517808219178082,148.40796019900498,True,2290.331814156807
H Klaasen,3845,2529,144,26.70138888888889,152.0363780150257,True,1905.826628032345
HE van der Dussen,3070,2407,106,28.962264150943398,127.54466140423763,True,1806.6367922895784
HH Pandya,5180,3780,253,20.474308300395258,137.03703703703704,True,2122.1471355559524
Ishan Kishan,4565,3467,168,27.172619047619047,131.67003172771848,True,1932.799359099592
J Charles,5205,4139,199,26.155778894472363,125.75501328823387,True,2031.0207651825044
JC Buttler,10136,7098,308,32.90909090909091,142.8007889546351,True,2448.2027436125986
JH Kallis,3706,3370,142,26.098591549295776,109.97032640949556,True,1865.7541129712706
JJ Roy,4759,3544,183,26.005464480874316,134.28329571106096,True,1994.481178556508
JM Bairstow,3745,2742,144,26.006944444444443,136.57913931436906,True,1857.9041702739812
JM Vince,4103,3148,148,27.722972972972972,130.33672172808133,True,1906.0292721376384
JP Duminy,4692,3854,174,26.96551724137931,121.74364296834457,True,2006.57734576051
JP Inglis,2784,1961,110,25.30909090909091,141.96838347781744,True,1788.2871142605784
JW Wells,2996,2529,125,23.968,118.46579675761171,True,1867.8855983709238
KA Pollard,9393,6711,435,21.593103448275862,139.96423781850694,True,2520.4279082987255
KC Sangakkara,4656,3915,187,24.898395721925134,118.9272030651341,True,1988.797067420422
KD Karthik,6419,4858,314,20.44267515923567,132.13256484149855,True,2161.9421793975243
KK Nair,2896,2156,121,23.93388429752066,134.32282003710577,True,1795.269023774863
KL Rahul,7950,5943,219,36.3013698630137,133.7708228167592,True,2222.9917890564507
KP Pietersen,4139,3095,139,29.776978417266186,133.7318255250404,True,1921.2754791862787
KS Williamson,5716,4766,203,28.157635467980295,119.9328577423416,True,2118.29232797189
LMP Simmons,5676,4862,204,27.823529411764707,116.74208144796381,True,1973.7939483316281
LRPL Taylor,4004,3490,199,20.12060301507538,114.72779369627509,True,1970.1136617311533
LS Livingstone,3598,2627,166,21.674698795180724,136.96231442710317,True,1853.2443638509508
M Vijay,3128,2608,122,25.639344262295083,119.93865030674846,True,1810.2545557104097
MA Agarwal,3568,2791,160,22.3,127.83948405589393,True,1863.690927050726
MC Henriques,4526,3583,206,21.97087378640777,126.31872732347196,True,2002.3930758911551
MEK Hussey,3470,2823,118,29.406779661016948,122.91888062345022,True,1840.0578835104182
MJ Guptill,6293,5042,228,27.600877192982455,124.81158270527568,True,2133.422099045969
MK Pandey,5660,4690,226,25.04424778761062,120.682302771855,True,2068.443736841186
MN Samuels,2903,2578,129,22.503875968992247,112.6066718386346,True,1805.5449231746277
MP Stoinis,6645,4870,282,23.56382978723404,136.4476386036961,True,2140.485852430285
MR Marsh,5080,3847,193,26.321243523316063,132.05094879126594,True,1998.036775632291
MS Dhoni,7162,5535,332,21.572289156626507,129.39476061427283,True,2397.8195592113207
MS Wade,4554,3464,202,22.544554455445546,131.46651270207852,True,1977.584288618575
Mahmudullah,2795,2472,157,17.802547770700638,113.0663430420712,True,1838.4800960856662
Mohammad Hafeez,5127,4441,236,21.72457627118644,115.44697140283719,True,2057.413473725097
Mohammad Rizwan,6714,5491,189,35.523809523809526,122.2728100528137,True,2085.6406983796164
N Pooran,7132,5007,303,23.537953795379536,142.44058318354305,True,2186.3428686303296
N Rana,4244,3161,160,26.525,134.26130971211643,True,1925.3957856963575
PA Patel,3291,2749,153,21.50980392156863,119.71626045834849,True,1844.5544071683337
PD Salt,3676,2406,150,24.506666666666668,152.78470490440566,True,1809.5835124801804
PR Stirling,3631,2770,153,23.73202614379085,131.08303249097472,True,1838.2007931577514
Q de Kock,7843,5928,277,28.314079422382672,132.30431848852902,True,2226.166861641667
R Powell,4442,3373,222,20.00900900900901,131.69285502520012,True,1944.6367158381631
RA Jadeja,3850,3091,241,15.975103734439834,124.55516014234875,True,1983.8192891120782
RA Tripathi,3109,2365,132,23.553030303030305,131.45877378435517,True,1827.5732255168214
RD Gaikwad,4267,3155,123,34.6910569105691,135.24564183835182,True,1862.421181477393
RG Sharma,11843,9007,438,27.038812785388128,131.4866215165982,True,2616.258161733215
RR Pant,5362,3907,205,26.15609756097561,137.2408497568467,True,2038.0240558825008
RR Rossouw,4405,3138,189,23.306878306878307,140.37603569152327,True,1875.0697758946467
RV Uthappa,5969,4739,238,25.07983193277311,125.95484279383837,True,2126.840705223719
S Dhawan,8796,7171,302,29.125827814569536,122.66071677590293,True,2350.8442782346397
S Dube,2953,2237,138,21.39855072463768,132.0071524362986,True,1825.2459580698878
SA Yadav,8405,5559,284,29.595070422535212,151.1962583198417,True,2290.023443182365
SD Hope,3057,2396,129,23.697674418604652,127.58764607679464,True,1843.7054475825948
SE Marsh,5546,4375,161,34.4472049689441,126.76571428571428,True,2006.0085308436624
SK Raina,7819,5958,294,26.595238095238095,131.23531386371266,True,2301.8632691508346
SO Hetmyer,4509,3409,210,21.47142857142857,132.2675271340569,True,1965.07772460232
SPD Smith,5108,4021,194,26.329896907216494,127.03307634916688,True,2065.276599294963
SR Watson,8246,6088,306,26.947712418300654,135.44678055190536,True,2285.062218339476
