date,bowler,bowling_elo,league
2024-10-24,A Alexander,1505.0,T20I
2021-10-22,A Andrews,1505.0,T20I
2021-10-22,A Andrews,1510.0,T20I
2021-10-24,A Andrews,1505.0,T20I
2019-11-09,A Aravinddaraj,1505.0,SMAT
2019-11-11,A Aravinddaraj,1500.5833333333333,SMAT
2019-11-12,A Aravinddaraj,1500.8333333333333,SMAT
2019-11-14,A Aravinddaraj,1495.8333333333333,SMAT
2019-11-15,A Aravinddaraj,1495.2564102564102,SMAT
2021-01-17,A Aravinddaraj,1500.2564102564102,SMAT
2021-01-19,A Aravinddaraj,1495.2564102564102,SMAT
2012-04-26,A Ashish Reddy,1504.8333333333333,IPL
2012-04-29,A Ashish Reddy,1505.7619047619046,IPL
2012-05-01,A Ashish Reddy,1504.893483709273,IPL
2012-05-04,A Ashish Reddy,1504.9319452477343,IPL
2012-05-06,A Ashish Reddy,1504.5519452477342,IPL
2012-05-08,A Ashish Reddy,1508.8519452477342,IPL
2012-05-10,A Ashish Reddy,1503.8519452477342,IPL
2012-05-18,A Ashish Reddy,1498.8519452477342,IPL
2012-05-20,A Ashish Reddy,1503.8519452477342,IPL
2013-04-05,A Ashish Reddy,1502.8519452477342,IPL
2013-04-14,A Ashish Reddy,1502.8519452477342,IPL
2015-04-18,A Ashish Reddy,1502.8904067861956,IPL
2015-05-02,A Ashish Reddy,1507.2237401195289,IPL
2016-04-16,A Ashish Reddy,1507.3904067861956,IPL
2018-01-08,A Ashish Reddy,1506.7365606323494,SMAT
2018-01-09,A Ashish Reddy,1501.7365606323494,SMAT
2018-01-12,A Ashish Reddy,1502.5523501060336,SMAT
2018-01-14,A Ashish Reddy,1497.5523501060336,SMAT
2019-02-21,A Ashish Reddy,1492.5523501060336,SMAT
2019-02-22,A Ashish Reddy,1497.5523501060336,SMAT
2019-02-25,A Ashish Reddy,1492.5523501060336,SMAT
2023-08-20,A Ashok,1505.0,T20I
2020-08-30,A Ashokan,1495.0,T20I
2021-05-22,A Ashokan,1490.0,T20I
2021-09-02,A Ashokan,1485.0,T20I
2021-09-03,A Ashokan,1485.2931034482758,T20I
2022-05-11,A Ashokan,1490.2546419098144,T20I
2022-05-12,A Ashokan,1485.2546419098144,T20I
2022-05-13,A Ashokan,1480.2546419098144,T20I
2022-05-14,A Ashokan,1485.2546419098144,T20I
2022-05-15,A Ashokan,1480.2546419098144,T20I
2022-07-09,A Ashokan,1475.2546419098144,T20I
2022-07-10,A Ashokan,1475.5879752431476,T20I
2022-07-10,A Ashokan,1480.5879752431476,T20I
2022-07-24,A Ashokan,1476.0879752431476,T20I
2022-07-30,A Ashokan,1481.0879752431476,T20I
2022-07-31,A Ashokan,1476.421308576481,T20I
2023-06-11,A Ashokan,1481.421308576481,T20I
2024-12-11,A Badoni,1504.38,SMAT
2022-08-22,A Bhargava,1500.1923076923076,T20I
2014-11-24,A Bhattarai,1505.0,T20I
2021-07-08,A Bishnoi,1500.1969696969697,T20I
2021-07-09,A Bishnoi,1505.1969696969697,T20I
2021-07-10,A Bishnoi,1509.8597603946441,T20I
2023-05-04,A Bishnoi,1510.28568632057,T20I
2023-05-05,A Bishnoi,1505.28568632057,T20I
2023-05-05,A Bishnoi,1510.28568632057,T20I
2023-07-14,A Bishnoi,1509.627791583728,T20I
2023-07-15,A Bishnoi,1510.2111249170612,T20I
2019-01-31,A Bohara,1499.62,T20I
2019-02-01,A Bohara,1504.62,T20I
2019-02-03,A Bohara,1509.4533333333331,T20I
2019-07-14,A Bohara,1509.7866666666664,T20I
2019-07-23,A Bohara,1510.6199999999997,T20I
2019-07-24,A Bohara,1505.6199999999997,T20I
2019-07-27,A Bohara,1505.203333333333,T20I
2019-07-28,A Bohara,1510.203333333333,T20I
2019-09-27,A Bohara,1505.8699999999997,T20I
2019-09-28,A Bohara,1501.5922222222218,T20I
2019-10-01,A Bohara,1502.0152991452987,T20I
2019-10-06,A Bohara,1507.0152991452987,T20I
2019-10-07,A Bohara,1507.4319658119655,T20I
2019-10-09,A Bohara,1512.4319658119655,T20I
2019-12-06,A Bohara,1508.5635447593338,T20I
2019-12-09,A Bohara,1509.5079892037782,T20I
2020-03-01,A Bohara,1504.7579892037782,T20I
2020-03-04,A Bohara,1509.7579892037782,T20I
2021-04-17,A Bohara,1505.0079892037782,T20I
2021-04-20,A Bohara,1503.5913225371114,T20I
2021-04-24,A Bohara,1504.0913225371114,T20I
2022-02-11,A Bohara,1509.0913225371114,T20I
2022-02-14,A Bohara,1514.0913225371114,T20I
2022-02-18,A Bohara,1515.3691003148892,T20I
2022-02-19,A Bohara,1515.424655870445,T20I
2022-02-21,A Bohara,1520.424655870445,T20I
2022-02-22,A Bohara,1525.424655870445,T20I
2022-02-24,A Bohara,1526.3691003148892,T20I
2022-03-28,A Bohara,1531.3691003148892,T20I
2022-03-30,A Bohara,1536.3691003148892,T20I
2022-03-31,A Bohara,1541.2537156995047,T20I
2022-04-02,A Bohara,1542.587049032838,T20I
2022-04-04,A Bohara,1537.587049032838,T20I
2023-09-27,A Bohara,1542.587049032838,T20I
2023-10-03,A Bohara,1537.587049032838,T20I
2023-10-18,A Bohara,1537.087049032838,T20I
2023-10-19,A Bohara,1542.087049032838,T20I
2023-10-23,A Bohara,1547.087049032838,T20I
2023-10-27,A Bohara,1552.087049032838,T20I
2023-10-30,A Bohara,1557.087049032838,T20I
2023-10-31,A Bohara,1562.087049032838,T20I
2023-11-02,A Bohara,1563.087049032838,T20I
2023-11-03,A Bohara,1558.087049032838,T20I
2023-11-05,A Bohara,1557.2322103231606,T20I
2024-02-27,A Bohara,1555.6522103231607,T20I
2024-03-01,A Bohara,1555.5922103231608,T20I
2024-03-02,A Bohara,1550.5922103231608,T20I
2024-03-05,A Bohara,1548.7588769898275,T20I
2024-04-12,A Bohara,1548.8422103231608,T20I
2024-04-13,A Bohara,1548.3422103231608,T20I
2024-04-15,A Bohara,1553.3422103231608,T20I
2024-04-17,A Bohara,1558.3422103231608,T20I
2024-04-20,A Bohara,1553.3422103231608,T20I
2024-06-04,A Bohara,1553.114937595888,T20I
2024-06-04,A Bohara,1552.8876648686153,T20WC
2024-06-14,A Bohara,1548.165442646393,T20I
2024-06-14,A Bohara,1543.443220424171,T20WC
2012-04-23,A Chandila,1495.0833333333333,IPL
2012-05-13,A Chandila,1500.0833333333333,IPL
2012-05-18,A Chandila,1500.8333333333333,IPL
2012-05-20,A Chandila,1495.8333333333333,IPL
2013-04-14,A Chandila,1491.7777777777776,IPL
2013-04-17,A Chandila,1496.7777777777776,IPL
2013-04-20,A Chandila,1492.5277777777776,IPL
2013-04-22,A Chandila,1493.2499999999998,IPL
2013-04-27,A Chandila,1498.2499999999998,IPL
2013-04-29,A Chandila,1493.2499999999998,IPL
2013-05-05,A Chandila,1488.2499999999998,IPL
2013-05-09,A Chandila,1488.7499999999998,IPL
2024-08-02,A Chaubey,1505.0,T20I
2024-08-04,A Chaubey,1500.0,T20I
2023-10-30,A Chaudhary,1495.0,T20I
2023-10-31,A Chaudhary,1490.0,T20I
2024-09-06,A Chaudhary,1488.9615384615386,T20I
2024-09-09,A Chaudhary,1493.9615384615386,T20I
2025-04-09,A Chenthamara,1495.3666666666666,T20I
2025-04-10,A Chenthamara,1490.3666666666666,T20I
2025-04-12,A Chenthamara,1495.3666666666666,T20I
2025-04-13,A Chenthamara,1500.3666666666666,T20I
2017-04-05,A Choudhary,1498.5714285714287,IPL
2017-04-27,A Choudhary,1493.5714285714287,IPL
2017-05-01,A Choudhary,1493.5114285714287,IPL
2017-05-05,A Choudhary,1498.5114285714287,IPL
2017-05-07,A Choudhary,1498.7761344537817,IPL
2018-01-08,A Choudhary,1503.7761344537817,SMAT
2018-01-09,A Choudhary,1504.506903684551,SMAT
2018-01-12,A Choudhary,1505.7127860374922,SMAT
2018-01-13,A Choudhary,1510.7127860374922,SMAT
2018-01-24,A Choudhary,1505.7127860374922,SMAT
2018-01-25,A Choudhary,1504.633838669071,SMAT
2019-02-21,A Choudhary,1503.883838669071,SMAT
2019-02-24,A Choudhary,1504.7171720024044,SMAT
2019-02-28,A Choudhary,1500.0571720024043,SMAT
2019-11-08,A Choudhary,1501.5971720024042,SMAT
2019-11-09,A Choudhary,1506.5971720024042,SMAT
2019-11-12,A Choudhary,1511.5971720024042,SMAT
2019-11-17,A Choudhary,1516.5971720024042,SMAT
2019-11-22,A Choudhary,1516.4305053357375,SMAT
2019-11-25,A Choudhary,1515.7638386690708,SMAT
