player,catch,run_out,stumping,total_fielding
A Ahmadhel,1,0,0,1
A Alexander,2,2,0,4
A Amado,2,0,0,2
A Andrews,4,0,0,4
A Aravinddaraj,1,0,0,1
A Ashish Reddy,11,3,0,14
A Ashokan,10,3,0,13
A Athanaze,9,0,0,9
A Badoni,24,1,0,25
A Bagai,3,1,3,7
A Balbirnie,34,3,0,37
A Bhadauria,1,0,0,1
A Bhagwat,2,0,0,2
A Bharwad,1,0,0,1
A Bishnoi,1,1,0,2
A Bohara,10,2,0,12
A Bramble,10,0,1,11
A Bushell,3,1,1,5
A Busing-Volschenk,2,0,0,2
A Chandila,2,0,0,2
A Chaubey,1,1,0,2
A Chopra,2,1,0,3
A Choudhary,4,1,0,5
A Conteh,2,0,0,2
A Dananjaya,8,0,0,8
A Davidson Soler,4,2,5,11
A Desai,3,0,0,3
A Dhabe,1,0,0,1
A Dhingra,1,2,0,3
A Dizija,5,0,0,5
A Djorovic,2,1,0,3
A Dutt,2,1,0,3
A Ferguson,5,2,0,7
A Flintoff,10,0,0,10
A G Pradeep,1,0,0,1
A Gbla,4,2,0,6
A Gorawara,3,0,0,3
A Govorko,4,0,0,4
A Gulati,1,1,0,2
A Halbhavi,3,1,0,4
A Harris,9,1,0,10
A Husain,2,0,0,2
A Ilaoa,7,2,1,10
A Johnmary,1,0,0,1
A Johnson,11,1,0,12
A Kadowaki Fleming,1,0,0,1
A Kainessie,2,0,0,2
A Kalasi,3,0,0,3
A Kamboj,6,0,0,6
A Kansonkho,2,1,0,3
A Kapoor,1,0,0,1
A Kaul,2,0,0,2
A Khan,0,1,0,1
A Kheterpal,3,2,0,5
A Kirschbaum,9,1,0,10
A Kumble,9,0,0,9
A Kuthalingham,0,1,0,1
A Langham,0,1,0,1
A Limdawala,4,1,0,5
A Lyth,6,0,0,6
A Maheshwari,4,0,0,4
A Manepalli,7,5,0,12
A Manohar,19,2,0,21
A Manousis,0,2,2,4
A Mansale,15,1,0,16
A Martel,3,0,0,3
A Martin,3,0,0,3
A McAuley,3,1,0,4
A McKnight,1,1,0,2
A Mehmood,1,0,0,1
A Mene-Ejegi,4,3,0,7
A Mhatre,4,0,0,4
A Mishra,24,10,0,34
A Mithun,13,1,0,14
A Modi,2,0,0,2
A Mongar,0,1,0,1
A Morris,2,0,0,2
A Mukund,6,2,0,8
A Mundra,7,5,2,14
A Mustafa,3,1,0,4
A Mutreja,6,1,0,7
A Nagarajan,2,1,0,3
A Nagwaswalla,4,2,0,6
